sample_id,question_order,deception,story_length,best_methods,num_correct_methods,total_methods
0,0,False,1,"PercepToM, SIMTOM, SoO",3,4
1,0,False,1,"PercepToM, SIMTOM, SoO",3,4
100,0,False,2,"PercepToM, SIMTOM, SoO",3,4
102,0,False,2,"PercepToM, SIMTOM",2,4
104,0,False,2,"PercepToM, SIMTOM, UNKNOWN",3,5
105,0,False,2,"PercepToM, SIMTOM, VP",3,4
11,0,False,1,"PercepToM, SIMTOM, SoO",3,4
113,0,False,2,"PercepToM, SIMTOM",2,4
114,0,False,2,"PercepToM, SIMTOM",2,4
118,0,False,2,"PercepToM, SIMTOM, SoO, UNKNOWN, VP",5,5
12,0,False,1,"PercepToM, SoO",2,4
126,1,False,2,"PercepToM, SIMTOM, SoO",3,4
13,0,False,1,"PercepToM, SIMTOM, SoO, UNKNOWN",4,5
132,1,False,2,"PercepToM, SIMTOM, SoO, VP",4,4
133,1,False,2,PercepToM,1,4
134,1,False,2,"SoO, VP",2,4
136,1,False,2,"PercepToM, SIMTOM, SoO, VP",4,5
137,1,False,2,PercepToM,1,4
138,1,False,2,"PercepToM, SIMTOM, SoO, UNKNOWN",4,5
139,1,False,2,"PercepToM, SIMTOM",2,4
14,0,False,1,"PercepToM, SIMTOM, SoO, VP",4,4
141,2,False,2,NONE,0,5
144,2,False,2,NONE,0,4
145,2,False,2,"SIMTOM, UNKNOWN",2,5
147,2,False,2,PercepToM,1,4
149,2,False,2,SIMTOM,1,5
151,2,False,2,"PercepToM, SIMTOM, SoO, VP",4,5
152,2,False,2,PercepToM,1,4
157,2,False,2,NONE,0,4
158,2,False,2,"PercepToM, SIMTOM, SoO",3,4
160,3,False,2,PercepToM,1,4
163,3,False,2,"PercepToM, SIMTOM, SoO, VP",4,4
167,3,False,2,"PercepToM, SoO",2,4
17,0,False,1,"PercepToM, SIMTOM, SoO, UNKNOWN, VP",5,5
171,3,False,2,SIMTOM,1,4
172,3,False,2,NONE,0,5
178,3,False,2,SIMTOM,1,4
18,0,False,1,"PercepToM, SIMTOM, SoO, UNKNOWN, VP",5,5
180,4,False,2,"PercepToM, SoO",2,5
183,4,False,2,"PercepToM, SoO, VP",3,5
187,4,False,2,NONE,0,4
189,4,False,2,"PercepToM, VP",2,4
191,4,False,2,PercepToM,1,4
192,4,False,2,VP,1,4
197,4,False,2,PercepToM,1,4
2,0,False,1,"PercepToM, SIMTOM, UNKNOWN, VP",4,5
20,1,False,1,"PercepToM, SoO, VP",3,4
200,0,False,3,"PercepToM, SIMTOM, SoO, UNKNOWN",4,5
205,0,False,3,"PercepToM, SIMTOM, VP",3,4
206,0,False,3,SIMTOM,1,5
207,0,False,3,"PercepToM, SIMTOM, SoO, VP",4,4
21,1,False,1,"PercepToM, SIMTOM, SoO",3,4
212,0,False,3,"PercepToM, SIMTOM",2,4
213,0,False,3,"PercepToM, SIMTOM",2,4
215,0,False,3,"PercepToM, SIMTOM, SoO",3,4
219,0,False,3,SIMTOM,1,4
222,1,False,3,NONE,0,4
223,1,False,3,"PercepToM, SIMTOM, SoO, UNKNOWN",4,5
224,1,False,3,PercepToM,1,4
225,1,False,3,"PercepToM, SIMTOM, VP",3,4
228,1,False,3,"PercepToM, SIMTOM",2,4
23,1,False,1,"PercepToM, SIMTOM, SoO",3,4
231,1,False,3,"PercepToM, SoO, VP",3,4
235,1,False,3,"PercepToM, SIMTOM, VP",3,4
237,1,False,3,PercepToM,1,5
24,1,False,1,"PercepToM, SIMTOM",2,4
244,2,False,3,PercepToM,1,4
245,2,False,3,SIMTOM,1,4
246,2,False,3,"PercepToM, UNKNOWN, VP",3,5
247,2,False,3,SIMTOM,1,5
248,2,False,3,"PercepToM, SoO",2,5
25,1,False,1,"PercepToM, SIMTOM, UNKNOWN",3,5
250,2,False,3,SIMTOM,1,4
251,2,False,3,"PercepToM, SoO, VP",3,4
254,2,False,3,PercepToM,1,4
264,3,False,3,NONE,0,4
265,3,False,3,"PercepToM, SoO",2,4
266,3,False,3,"PercepToM, SIMTOM, VP",3,4
268,3,False,3,"PercepToM, SoO, UNKNOWN",3,5
27,1,False,1,"PercepToM, SIMTOM, SoO, VP",4,4
270,3,False,3,SoO,1,5
271,3,False,3,"PercepToM, SIMTOM, SoO, UNKNOWN, VP",5,5
272,3,False,3,"PercepToM, VP",2,5
274,3,False,3,"PercepToM, SoO, VP",3,4
276,3,True,3,NONE,0,4
278,3,False,3,"SoO, VP",2,5
279,3,False,3,"PercepToM, VP",2,4
28,1,False,1,"PercepToM, SIMTOM, SoO, VP",4,4
284,4,False,3,"SIMTOM, VP",2,4
286,4,False,3,"PercepToM, SoO, VP",3,5
288,4,False,3,"SIMTOM, UNKNOWN",2,5
289,4,False,3,"PercepToM, VP",2,4
29,1,False,1,PercepToM,1,4
290,4,False,3,"PercepToM, SIMTOM, SoO",3,4
291,4,False,3,"PercepToM, SIMTOM, SoO, UNKNOWN, VP",5,5
292,4,False,3,"SIMTOM, SoO, VP",3,5
294,4,False,3,"PercepToM, VP",2,4
298,4,False,3,"PercepToM, SoO, UNKNOWN, VP",4,5
299,4,False,3,VP,1,4
3,0,False,1,"PercepToM, SIMTOM, SoO",3,4
30,1,False,1,NONE,0,4
32,1,False,1,"PercepToM, SIMTOM, SoO",3,4
34,1,False,1,"PercepToM, SoO, UNKNOWN, VP",4,5
36,1,False,1,"PercepToM, SIMTOM, UNKNOWN, VP",4,5
37,1,False,1,SIMTOM,1,4
38,1,False,1,"PercepToM, SIMTOM, SoO, VP",4,4
4,0,False,1,"PercepToM, SIMTOM, SoO",3,4
40,2,False,1,"PercepToM, VP",2,4
43,2,False,1,"PercepToM, SIMTOM, SoO",3,4
48,2,False,1,"PercepToM, SIMTOM, SoO",3,4
49,2,False,1,"PercepToM, SIMTOM, UNKNOWN, VP",4,5
51,2,False,1,"PercepToM, SoO",2,5
52,2,False,1,"PercepToM, SIMTOM",2,4
53,2,False,1,NONE,0,4
55,2,False,1,PercepToM,1,5
56,2,False,1,VP,1,4
57,2,False,1,"PercepToM, VP",2,4
58,2,False,1,"PercepToM, SIMTOM, SoO, UNKNOWN, VP",5,5
59,2,False,1,"PercepToM, SIMTOM",2,5
600,0,True,1,"PercepToM, SIMTOM, VP",3,5
601,0,True,1,"PercepToM, SoO",2,4
603,0,True,1,PercepToM,1,4
605,0,True,1,PercepToM,1,4
607,0,True,1,"PercepToM, SIMTOM, SoO, UNKNOWN, VP",5,5
608,0,True,1,"PercepToM, SIMTOM, UNKNOWN, VP",4,5
609,0,True,1,SIMTOM,1,5
611,0,True,1,"SIMTOM, VP",2,5
613,0,True,1,"PercepToM, SIMTOM, SoO, UNKNOWN",4,5
614,0,True,1,"PercepToM, SIMTOM, SoO, VP",4,5
615,0,True,1,"PercepToM, SIMTOM, SoO, VP",4,4
616,0,True,1,"PercepToM, SIMTOM, SoO",3,4
620,1,True,1,"PercepToM, SoO",2,5
624,1,True,1,"SIMTOM, SoO, UNKNOWN, VP",4,5
626,1,True,1,"SIMTOM, SoO, UNKNOWN",3,5
627,1,True,1,PercepToM,1,4
628,1,True,1,SoO,1,5
629,1,True,1,"PercepToM, SoO, VP",3,4
63,3,False,1,"PercepToM, SIMTOM, UNKNOWN",3,5
631,1,True,1,"PercepToM, SIMTOM, VP",3,4
632,1,True,1,"PercepToM, SIMTOM, SoO",3,4
635,1,True,1,"PercepToM, SIMTOM",2,5
637,1,True,1,PercepToM,1,4
638,1,True,1,"PercepToM, SIMTOM, SoO, VP",4,4
639,1,True,1,NONE,0,5
64,3,False,1,"PercepToM, SIMTOM",2,4
643,2,True,1,SIMTOM,1,4
644,2,True,1,SIMTOM,1,4
646,2,True,1,NONE,0,5
648,2,True,1,"SIMTOM, UNKNOWN",2,5
653,2,True,1,"PercepToM, SIMTOM, UNKNOWN, VP",4,5
654,2,True,1,"SIMTOM, VP",2,5
656,2,True,1,PercepToM,1,5
658,2,True,1,VP,1,5
659,2,True,1,"PercepToM, SIMTOM, SoO, VP",4,4
660,3,True,1,"PercepToM, SIMTOM, VP",3,4
661,3,True,1,VP,1,4
663,3,True,1,"SIMTOM, VP",2,4
664,3,True,1,"PercepToM, SIMTOM, VP",3,5
666,3,True,1,VP,1,4
668,3,True,1,"PercepToM, VP",2,5
669,3,True,1,"PercepToM, SIMTOM, SoO, UNKNOWN",4,5
67,3,False,1,PercepToM,1,5
671,3,True,1,"PercepToM, SIMTOM, UNKNOWN, VP",4,5
672,3,True,1,SoO,1,4
674,3,True,1,"PercepToM, SIMTOM, VP",3,4
675,3,True,1,NONE,0,4
678,3,True,1,VP,1,4
680,4,True,1,"PercepToM, VP",2,4
683,4,True,1,"PercepToM, VP",2,4
684,4,True,1,"PercepToM, SIMTOM, VP",3,5
688,4,True,1,"SIMTOM, VP",2,4
689,4,True,1,"PercepToM, SoO",2,4
69,3,False,1,"SIMTOM, VP",2,5
691,4,True,1,SIMTOM,1,5
692,4,True,1,"PercepToM, SIMTOM, SoO",3,4
693,4,True,1,NONE,0,4
695,4,True,1,PercepToM,1,4
698,4,True,1,VP,1,4
699,4,True,1,NONE,0,4
7,0,False,1,"PercepToM, SIMTOM, SoO",3,4
701,0,True,2,"PercepToM, SIMTOM, SoO, VP",4,4
706,0,True,2,"PercepToM, SIMTOM, SoO, UNKNOWN, VP",5,5
708,0,True,2,"PercepToM, SIMTOM, UNKNOWN",3,5
709,0,True,2,"PercepToM, SIMTOM, SoO",3,4
71,3,False,1,NONE,0,4
710,0,True,2,"PercepToM, SIMTOM, SoO",3,4
711,0,True,2,"PercepToM, SIMTOM, UNKNOWN, VP",4,5
712,0,True,2,"PercepToM, SIMTOM, SoO, VP",4,4
713,0,True,2,"PercepToM, SIMTOM, UNKNOWN, VP",4,5
717,0,True,2,"PercepToM, SIMTOM, SoO",3,5
718,0,True,2,"PercepToM, SIMTOM, SoO",3,4
719,0,True,2,"PercepToM, SIMTOM, SoO, VP",4,4
721,1,True,2,VP,1,5
722,1,True,2,"PercepToM, SIMTOM, SoO, VP",4,4
724,1,True,2,"PercepToM, SIMTOM, SoO",3,4
726,1,True,2,"PercepToM, SIMTOM, SoO, UNKNOWN",4,5
730,1,True,2,"SIMTOM, SoO, VP",3,4
733,1,True,2,"PercepToM, SIMTOM, SoO",3,4
735,1,True,2,"PercepToM, SIMTOM",2,5
737,1,True,2,PercepToM,1,4
739,1,True,2,"SIMTOM, SoO",2,4
74,3,False,1,PercepToM,1,5
740,2,True,2,"PercepToM, SIMTOM",2,4
741,2,True,2,"PercepToM, VP",2,4
743,2,True,2,"PercepToM, SIMTOM, SoO, UNKNOWN, VP",5,5
745,2,True,2,SIMTOM,1,5
749,2,True,2,VP,1,4
754,2,True,2,"SIMTOM, SoO",2,4
755,2,True,2,"PercepToM, SIMTOM",2,5
756,2,True,2,"PercepToM, SIMTOM",2,4
757,2,True,2,VP,1,4
759,2,True,2,NONE,0,4
76,3,False,1,"PercepToM, VP",2,5
760,3,True,2,NONE,0,4
761,3,True,2,NONE,0,4
763,3,True,2,"PercepToM, SIMTOM, SoO, VP",4,5
764,3,True,2,"PercepToM, SoO",2,4
765,3,True,2,"PercepToM, SIMTOM, SoO, VP",4,5
767,3,True,2,NONE,0,4
768,3,True,2,NONE,0,5
769,3,True,2,VP,1,5
77,3,False,1,NONE,0,5
773,3,True,2,"PercepToM, SIMTOM, VP",3,4
774,3,True,2,"PercepToM, SIMTOM, SoO",3,4
777,3,True,2,NONE,0,4
779,3,True,2,NONE,0,5
780,4,True,2,PercepToM,1,4
781,4,True,2,PercepToM,1,4
783,4,True,2,"PercepToM, VP",2,4
785,4,True,2,NONE,0,4
788,4,True,2,"SIMTOM, UNKNOWN",2,5
789,4,True,2,"PercepToM, VP",2,4
793,4,True,2,"PercepToM, VP",2,4
794,4,True,2,SoO,1,4
797,4,True,2,PercepToM,1,4
799,4,True,2,"PercepToM, SIMTOM, VP",3,4
803,0,True,3,"PercepToM, SIMTOM, UNKNOWN, VP",4,5
804,0,True,3,"PercepToM, SIMTOM, SoO",3,4
810,0,True,3,"PercepToM, SIMTOM, SoO",3,4
812,0,True,3,"SIMTOM, VP",2,5
813,0,True,3,"PercepToM, SIMTOM",2,4
814,0,True,3,"PercepToM, VP",2,4
815,0,True,3,"PercepToM, VP",2,5
816,0,True,3,"PercepToM, SIMTOM",2,4
817,0,True,3,SIMTOM,1,4
818,0,True,3,"PercepToM, SIMTOM",2,4
820,1,True,3,PercepToM,1,5
822,1,True,3,SIMTOM,1,4
825,1,True,3,"SIMTOM, UNKNOWN, VP",3,5
829,1,True,3,NONE,0,4
83,4,False,1,"PercepToM, SIMTOM, SoO, UNKNOWN",4,5
830,1,True,3,"PercepToM, SIMTOM",2,4
831,1,True,3,"PercepToM, SoO",2,4
832,1,True,3,NONE,0,4
834,1,True,3,"PercepToM, SIMTOM, SoO",3,4
839,1,True,3,NONE,0,5
84,4,False,1,"PercepToM, SIMTOM",2,4
840,2,True,3,NONE,0,5
841,2,True,3,"PercepToM, SIMTOM, SoO, VP",4,4
843,2,True,3,NONE,0,4
844,2,True,3,"PercepToM, UNKNOWN",2,5
847,2,True,3,PercepToM,1,5
848,2,True,3,PercepToM,1,4
851,2,True,3,"PercepToM, SIMTOM",2,4
853,2,True,3,"PercepToM, SIMTOM, VP",3,4
855,2,True,3,"PercepToM, VP",2,4
856,2,True,3,"PercepToM, SoO, VP",3,4
858,2,True,3,PercepToM,1,4
859,2,True,3,NONE,0,5
860,3,True,3,VP,1,4
864,3,True,3,PercepToM,1,4
87,4,False,1,NONE,0,4
870,3,True,3,PercepToM,1,4
871,3,True,3,"SoO, VP",2,5
872,3,True,3,NONE,0,4
873,3,True,3,"PercepToM, SIMTOM",2,5
874,3,True,3,PercepToM,1,4
876,3,True,3,"PercepToM, SoO",2,5
877,3,True,3,"SIMTOM, VP",2,4
878,3,True,3,VP,1,5
879,3,True,3,PercepToM,1,4
88,4,False,1,"PercepToM, SoO, VP",3,5
880,4,True,3,VP,1,4
885,4,True,3,SoO,1,4
888,4,True,3,PercepToM,1,4
89,4,False,1,"PercepToM, SIMTOM, VP",3,4
890,4,True,3,"PercepToM, SIMTOM",2,4
892,4,True,3,"PercepToM, VP",2,5
893,4,True,3,SIMTOM,1,4
894,4,True,3,PercepToM,1,4
896,4,True,3,"PercepToM, SIMTOM",2,4
897,4,True,3,NONE,0,4
898,4,True,3,"PercepToM, VP",2,4
899,4,True,3,NONE,0,5
90,4,False,1,"PercepToM, SIMTOM, SoO, VP",4,4
91,4,False,1,NONE,0,4
94,4,False,1,"PercepToM, SIMTOM, VP",3,4
96,4,False,1,"PercepToM, SIMTOM, VP",3,5
97,4,False,1,PercepToM,1,4
98,4,False,1,"PercepToM, SIMTOM, SoO, VP",4,4
