sample_id,story_id,question,answer,question_order,deception,story_length,correct_methods,incorrect_methods,num_correct,num_incorrect
171,c007399d631c250725da53f8fc21e7bb,Where does Ava think Alexander thinks Charlotte thinks the pear is?,red_box,3,False,2,SIMTOM,"PercepToM, SoO, VP",1,3
100,bc20f8789564dc59ea6ab633e58c2751,Where is the cucumber really?,green_treasure_chest,0,False,2,"PercepToM, SIMTOM, SoO",VP,3,1
289,dd4cf3ae1ba1e4e9b050dc8204adaa62,Where does William think Charlotte thinks Logan thinks Evelyn thinks the sweet_potato is?,red_container,4,False,3,"PercepToM, VP","SIMTOM, SoO",2,2
739,0156d95d17505a708c4cb919b1b4ab75,Where does Jacob really think the melon is?,green_drawer,1,True,2,"SIMTOM, SoO","PercepToM, VP",2,2
178,2990e141f37d036cb71825a1cb866863,Where does Amelia think Nathan thinks Jackson thinks the tomato is?,blue_crate,3,False,2,SIMTOM,"PercepToM, SoO, VP",1,3
661,ef995be2f9e2c2cd4cd24f2c00419234,Where does Liam think Avery thinks Lily thinks the lemon is?,blue_treasure_chest,3,True,1,VP,"PercepToM, SIMTOM, SoO",1,3
245,45e570c59c45caebb81271cd1f0a8b7a,Where does Lily think Hannah thinks the turnip is?,red_basket,2,False,3,SIMTOM,"PercepToM, SoO, VP",1,3
126,e0a62cc64e8d6d8bd73650fb4eafed7c,Where does Nathan really think the melon is?,blue_treasure_chest,1,False,2,"PercepToM, SIMTOM, SoO",VP,3,1
817,fa9a51fb22badf5dc484f4ab0abfd94b,Where is the cabbage really?,green_crate,0,True,3,SIMTOM,"PercepToM, SoO, VP",1,3
666,40aa312070bc04d38c08f788d33553dd,Where does Hannah think Liam thinks Emma thinks the tomato is?,red_container,3,True,1,VP,"PercepToM, SIMTOM, SoO",1,3
894,b8a7bca9636c30da9518f132ab41cd7a,Where does Isla think Aiden thinks Sophia thinks Abigail thinks the peach is?,red_bucket,4,True,3,PercepToM,"SIMTOM, SoO, VP",1,3
197,62120a3f484cf9a686d534721e8f0ee8,Where does Mila think Isla thinks Lily thinks Noah thinks the corn is?,blue_treasure_chest,4,False,2,PercepToM,"SIMTOM, SoO, VP",1,3
683,4d35ac4ec197582ce0727db6d1fdc500,Where does Abigail think Mila thinks Benjamin thinks Jackson thinks the cherry is?,green_bucket,4,True,1,"PercepToM, VP","SIMTOM, SoO",2,2
